,0
0,"Shell: Cotton 100% Pocket lining: Polyester 65%, Cotton 35%"
1,Cotton 100%
2,Cotton 100%
3,"Pocket lining: Polyester 65%, Cotton 35% Shell: Cotton 100%"
4,Shell: Polyamide 100% Lining: Polyester 100%
5,"Shell: Cotton 100% Pocket lining: Polyester 65%, Cotton 35%"
6,"Cotton 99%, Elastane 1%"
7,Shell: Polyamide 100% Lining: Polyester 100%
8,Lining: Polyester 100% Shell: Polyester 100%
9,Shell: Polyester 100% Lining: Polyester 100%
10,"Polyester 66%, Cotton 22%, Viscose 12%"
11,"Lyocell 53%, Cotton 47%"
12,Lining: Polyester 100% Shell: Polyester 100%
13,Polyester 100%
14,Shell: Polyester 100% Lining: Polyester 100%
15,"Polyester 66%, Cotton 22%, Viscose 12%"
16,Lining: Polyester 100% Shell: Polyamide 100%
17,Shell: Cotton 100% Pocket lining: Cotton 100%
18,"Pocket lining: Polyester 65%, Cotton 35% Shell: Cotton 100%"
19,Shell: Polyester 100% Lining: Polyester 100%
20,"Shell: Cotton 100% Pocket lining: Polyester 65%, Cotton 35%"
21,"Pocket lining: Polyester 90%, Cotton 10% Shell: Polyester 62%, Viscose 36%, Elastane 2%"
22,Lining: Polyester 100% Shell: Polyester 100%
23,"Shell: Lyocell 53%, Cotton 47% Pocket lining: Cotton 100%"
24,"Shell: Cotton 100% Pocket lining: Polyester 64%, Cotton 36%"
25,"Polyester 98%, Elastane 2%"
26,Plastic 100%
27,Polymethyl methacrylate 100%
28,Polyester 100%
29,"Polyester 66%, Cotton 22%, Viscose 12%"
30,Polyester 100%
31,"Polyester 94%, Elastane 6%"
32,"Lyocell 53%, Cotton 47%"
33,Cotton 100%
34,Polyester 100%
35,Polyester 100%
36,"Polyester 86%, Elastane 14%"
37,Polyester 100%
38,Polyester 100%
39,Shell: Polyester 100% Lining: Polyester 100%
40,Cotton 100%
41,"Lining: Polyester 65%, Cotton 35% Shell: Cotton 100%"
42,Lining: Polyester 100% Shell: Polyester 100%
43,"Shell: Lyocell 57%, Linen 22%, Cotton 21% Lining: Polyester 100%"
44,Lining: Polyester 100% Shell: Polyester 100%
45,"Shell: Cotton 100% Elastic ribbing: Cotton 95%, Elastane 5%"
46,"Shell: Lyocell 53%, Cotton 47% Sleeve lining: Polyester 100%"
47,Polyester 100%
48,"Polyester 98%, Elastane 2%"
49,"Shell: Polyester 61%, Viscose 37%, Elastane 2% Lining: Polyester 100%"
50,Shell: Polyester 100% Lining: Polyester 100%
51,"Polyester 57%, Acrylic 23%, Wool 20%"
52,"Shell: Polyester 92%, Elastane 8% Pocket lining: Polyester 94%, Elastane 6%"
53,"Pocket lining: Polyester 100% Shell: Polyester 83%, Cotton 17%"
54,"Polyester 66%, Cotton 22%, Viscose 12%"
55,Cotton 100%
56,"Shell: Lyocell 53%, Cotton 47% Sleeve lining: Polyester 100%"
57,Details: Polyester 100% Lining: Polyester 100% Shell: Polyester 100%
58,Polyester 100%
59,"Polyester 94%, Elastane 6%"
60,Lining: Polyester 100% Shell: Polyester 100%
61,Shell: Polyester 100% Lining: Polyester 100%
62,Cotton 100%
63,Cotton 100%
