,0
0,97% cotton/3% polyester
1,Body: 96% nylon/4% spandex. Overlays: 100% nylon. Side pockets: 100% polyester.
2,72% polyester/18% lyocell/10% spandex
3,92% polyester/8% spandex
4,Body: 93% polyester/7% spandex. Mesh: 100% polyester.
5,Body: 100% nylon. Tight/gusset lining: 92% polyester/8% spandex.
6,57% cotton/43% polyester
7,Body: 100% polyester. Lining: 92% polyester/8% spandex.
8,82% cotton/18% polyester
9,80-82% cotton/18-20% polyester
10,93% polyester/7% spandex
11,Body: 87% polyester/13% spandex. Panels: 92% polyester/8% spandex.
12,57% cotton/43% polyester
13,57% cotton/43% polyester
14,"Heathered colors: Shorts: 100% polyester. Panel: 94% polyester/6% spandex. Waistband: 66% nylon, 34% spandex. Tight/Tight Center Front Lining: 89% recycled polyester/11% spandex."
15,"Solid colors: Shorts: 100% recycled polyester. Panel: 94% polyester/6% spandex. Waistband: 66% nylon, 34% spandex. Tight/Tight Center Front Lining: 89% recycled polyester/11% spandex."
16,61% cotton/39% polyester
17,92% polyester/8% spandex
18,Body/Panel Lining: 100% polyester
19,Body: 100% polyester. Panels: 80% polyester/20% spandex.
20,Body: 80% polyester/20% spandex. Panel: 100% polyester. Waistband: 66% nylon/34% spandex. Side Pockets: 100% polyester. Brief: 89% polyester/11% spandex.
21,Body: 80% polyester/20% spandex. Panel: 100% polyester. Inset: 92% polyester/8% spandex.
22,100% polyester
23,100% polyester
24,93% polyester/7% spandex
25,Body: 64% organic cotton/32% recycled polyester/4% spandex. Rib: 56% recycled polyester/41% organic cotton/3% spandex.
26,Upper body: 85% polyester/15% spandex. Lower body: 79% polyester/21% spandex. Mesh: 100% polyester.
27,57% cotton/43% polyester
28,100% recycled polyester
29,100% recycled polyester
30,100% polyester
31,100% polyester
32,100% polyester
33,Body: 100% polyester. Brief: 89% polyester/11% spandex.
34,61% cotton/39% polyester
35,100% recycled polyester
36,100% polyester
37,Body: 92% polyester/8% spandex. Mesh: 100% polyester.
38,94% polyester/6% spandex
