,0
0, 50D 69¬†g/m² 100% nylon taffeta with DWR finish
1, 30D 50 g/m² 100% polyester with DWR finish
2, 50D 82 g/m² 100% polyester with DWR finish
3, 50D 69 g/m² 100% nylon taffeta
4, 40D 54 g/m² 100% nylon ripstop with durable water-repellent (DWR) finish
5, 40D 54 g/m² 100% nylon ripstop with durable water-repellent (DWR) finish
6, 50D 82 g/m² 100% polyester with DWR finish
7, 30D 50 g/m² 100% polyester with DWR finish
8, 50D 69 g/m² 100% nylon taffeta with DWR finish
9, 50D 69 g/m² 100% nylon taffeta
10, 50D 96 g/m² FUTURELIGHT™ 3L—100% recycled polyester woven with tricot backer and durable water-repellent (DWR) finish
11, 35D x 20D 35% recycled polyester 65% polyester face with 100% recycled polyester tricot backer
12, 360 g/m² 100% recycled polyester
13, 70D x 200D 360 g/m² 100% recycled polyester
14, 70D x 200D 346 g/m² 100% recycled polyester
15, 70D 106 g/m² DryVent™ 2L—100% nylon
16, 40D 50 g/m² 100% polyester mesh
17, 67 g/m² 100% polyester plain weave
18, 70D 106 g/m² DryVent™ 2L—100% nylon
19, 40D 50 g/m² 100% polyester mesh
20, 75D 67 g/m² 100% polyester taffeta
21, 50D 80 g/m² 100% polyester taffeta
22, 40D 85 g/m² DryVent™ 2.5L—100% nylon ripstop
23," 70D 154 g/m² DryVent™ 2.5L— 62% nylon, 38% polyester"
24, 100% nylon ripstop
25, 20D 38 g/m² 100% recycled nylon with durable water-repellent (DWR) finish
26, 30D 50 g/m² 100% recycled polyester with DWR finish
27, 50D 73 g/m² 100% recycled polyester
28, 11 g/ft² ThermoBall™ Eco 100% post-consumer recycled polyester
29, 40D 85 g/m² DryVent™ 2.5L—100% nylon ripstop
30," 70D 154 g/m² DryVent™ 2.5L—62% nylon, 38% polyester"
31," 70D 144 g/m² DryVent™ 2.5L—72% nylon, 28% polyester ripstop"
32, 20D 38 g/m² 100% recycled nylon with durable water-repellent (DWR) finish
33, 30D 50 g/m² 100% recycled polyester with DWR finish
34, 50D 73 g/m² 100% recycled polyester
35, 11 g/ft² ThermoBall™ Eco 100% post-consumer recycled polyester
36, 40D 54 g/m² 100% nylon ripstop with durable water-repellent (DWR) finish
37, 50D 82 g/m² 100% polyester taffeta with DWR finish
