,0
0,"BODY: 77% RECYCLED POLYESTER, 23% ELASTANE"
1,"MESH: 84% POLYAMIDE, 16% ELASTANE EXCLUSIVE OF DECORATION"
2,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX Mesh"
3,"Lining: 84% POLYAMIDE, 16% ELASTANE CUP"
4,LINING: 100% POLYESTER
5,"ELASTIC: 85% POLYAMIDE, 15% ELASTANE Exclusive of Decoration"
6,"BODY: 77% RECYCLED POLYESTER, 23% ELASTANE"
7,"MESH: 84% POLYAMIDE, 16% ELASTANE EXCLUSIVE OF DECORATION"
8,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX"
9,"Mesh: 84% POLYAMIDE, 16% ELASTANE Exclusive of Decoration"
10,"BODY: 88% RECYCLED POLYESTER, 12% ELASTANE GUSSET"
11,"LINING: 91% COTTON, 9% ELASTANE EXCLUSIVE OF DECORATION"
12,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX"
13,"Mesh: 84% POLYAMIDE, 16% ELASTANE"
14,"Elastic: 90% Polyamide, 10% Elastane Exclusive of Decoration"
15,"93% POLYESTER, 7% ELASTANE EXCLUSIVE OF DECORATION"
16,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX"
17,"Mesh: 84% POLYAMIDE, 16% ELASTANE"
18,"Elastic: 90% Polyamide, 10% Elastane Exclusive of Decoration"
19,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX Mesh"
20,"Lining: 84% POLYAMIDE, 16% ELASTANE CUP"
21,LINING: 100% POLYESTER
22,"ELASTIC: 85% POLYAMIDE, 15% ELASTANE Exclusive of Decoration"
23,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX"
24,"Mesh: 84% POLYAMIDE, 16% ELASTANE"
25,"Elastic: 90% Polyamide, 10% Elastane Exclusive of Decoration"
26,"BODY: 77% RECYCLED POLYESTER, 23% ELASTANE"
27,"MESH: 84% POLYAMIDE, 16% ELASTANE EXCLUSIVE OF DECORATION"
28,"93% POLYESTER, 7% ELASTANE EXCLUSIVE OF DECORATION"
29,"BODY: 77% RECYCLED POLYESTER, 23% ELASTANE"
30,"MESH: 84% POLYAMIDE, 16% ELASTANE EXCLUSIVE OF DECORATION"
31,"93% POLYESTER, 7% ELASTANE EXCLUSIVE OF DECORATION"
32,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX Mesh"
33,"Lining: 84% POLYAMIDE, 16% ELASTANE CUP"
34,LINING: 100% POLYESTER
35,"ELASTIC: 85% POLYAMIDE, 15% ELASTANE Exclusive of Decoration"
36,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX"
37,"Mesh: 84% POLYAMIDE, 16% ELASTANE Exclusive of Decoration"
38,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX"
39,"Mesh: 84% POLYAMIDE, 16% ELASTANE"
40,"Elastic: 90% Polyamide, 10% Elastane Exclusive of Decoration"
41," 77% RECYCLED POLYESTER, 23% ELASTANE EXCLUSIVE OF DECORATION."
42,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX"
43,"Mesh: 84% POLYAMIDE, 16% ELASTANE Exclusive of Decoration"
44,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX"
45,"Mesh: 84% POLYAMIDE, 16% ELASTANE"
46,"Elastic: 90% Polyamide, 10% Elastane Exclusive of Decoration"
47,"BODY: 86% POLYAMIDE, 14% ELASTANE WAIST BAND/"
48,"LINING: 88% RECYCLED POLYESTER, 12% ELASTANE EXCLUSIVE OF DECORATION"
49,"BODY: 77% RECYCLED POLYESTER, 23% ELASTANE EXCLUSIVE OF DECORATION"
50,"BODY: 88% RECYCLED POLYESTER, 12% ELASTANE"
51,"MESH: 84% POLYAMIDE, 16% ELASTANE EXCLUSIVE OF DECORATION"
52,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX"
53,"Mesh: 84% POLYAMIDE, 16% ELASTANE"
54,"Elastic: 90% Polyamide, 10% Elastane Exclusive of Decoration"
55,"93% POLYESTER, 7% ELASTANE EXCLUSIVE OF DECORATION"
56,"93% POLYESTER, 7% ELASTANE EXCLUSIVE OF DECORATION"
57,"BODY: 77% RECYCLED POLYESTER, 23% ELASTANE"
58,"MESH: 84% POLYAMIDE, 16% ELASTANE EXCLUSIVE OF DECORATION"
59,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX"
60,"Mesh: 84% POLYAMIDE, 16% ELASTANE Exclusive of Decoration"
61," 77% RECYCLED POLYESTER, 23% ELASTANE EXCLUSIVE OF DECORATION."
62,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX"
63,"Mesh: 84% POLYAMIDE, 16% ELASTANE"
64,"Elastic: 90% Polyamide, 10% Elastane Exclusive of Decoration"
65,"BODY: 88% RECYCLED POLYESTER, 12% ELASTANE GUSSET"
66,"LINING: 91% COTTON, 9% ELASTANE EXCLUSIVE OF DECORATION"
67,"BODY: 77% RECYCLED POLYESTER, 23% ELASTANE EXCLUSIVE OF DECORATION"
68,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX"
69,"Mesh: 84% POLYAMIDE, 16% ELASTANE"
70,"Elastic: 90% Polyamide, 10% Elastane Exclusive of Decoration"
71," 77% RECYCLED POLYESTER, 23% ELASTANE EXCLUSIVE OF DECORATION."
72,"BODY: 88% RECYCLED POLYESTER, 12% ELASTANE GUSSET"
73,"LINING: 91% COTTON, 9% ELASTANE EXCLUSIVE OF DECORATION"
74,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX Mesh"
75,"Lining: 84% POLYAMIDE, 16% ELASTANE CUP"
76,LINING: 100% POLYESTER
77,"ELASTIC: 85% POLYAMIDE, 15% ELASTANE Exclusive of Decoration"
78,"BODY: 77% RECYCLED POLYESTER, 23% ELASTANE"
79,"MESH: 84% POLYAMIDE, 16% ELASTANE EXCLUSIVE OF DECORATION"
80,"77% RECYCLED POLYESTER, 23% ELASTANE EXCLUSIVE OF DECORATION"
81,"BODY: 77% RECYCLED POLYESTER, 23% ELASTANE EXCLUSIVE OF DECORATION"
82," 77% RECYCLED POLYESTER, 23% ELASTANE EXCLUSIVE OF DECORATION."
83,"Body/Wing/Lining: 88% RECYCLED POLYESTER, 12% SPANDEX"
84,"Mesh: 84% POLYAMIDE, 16% ELASTANE"
85,"Elastic: 90% Polyamide, 10% Elastane Exclusive of Decoration"
86,"77% RECYCLED POLYESTER, 23% ELASTANE EXCLUSIVE OF DECORATION"
87," 60% COTTON, 40% POLYESTEREXCLUSIVE OF DECORATION"
88,"60% COTTON, 40% POLYESTER EXCLUSIVE OF DECORATION"
89,BODY: 87% POLYESTER 13% ELASTANE
90,RIB: 94% POLYESTER 6% ELASTANE EXCLUSIVE OF DECORATION
91,BODY: 87% POLYESTER 13% ELASTANE
92,RIB: 94% POLYESTER 6% ELASTANE EXCLUSIVE OF DECORATION
93,"76% POLYAMIDE, 24% ELASTANE EXCLUSIVE OF DECORATION"
94,"76% POLYAMIDE, 24% ELASTANE EXCLUSIVE OF DECORATION"
95,"BODY/LINING: 88% RECYCLED POLYESTER, 12% ELASTANE EXCLUSIVE OF DECORATION"
96,BODY: 59% Recycle Nylon/ 41% Nylon N6
97,LINING: 100% POLYESTER EXCLUSIVE OF DECORATION
98,BODY: 59% Recycle Nylon/ 41% Nylon N6
99,LINING: 100% POLYESTER EXCLUSIVE OF DECORATION
100,BODY: 59% Recycle Nylon/ 41% Nylon N6
101,LINING: 100% POLYESTER EXCLUSIVE OF DECORATION
102,"Body/Wing: 88% Polyester, 12% Elastane"
103,"Mesh/Lining: 84% Polyamide, 16% Elastane"
104,"Elastic: 85% Polyamide, 15% Elastane"
105,"77% Recycled Polyester, 23% Elastane"
106,Exclusive Of Decoration
107,"77% Recycled Polyester, 23% Elastane"
108,Exclusive Of Decoration
109,"BODY: 60% COTTON, 40% POLYESTER"
110,EXCLUSIVE OF DECORATION
111,"BODY: 60% COTTON, 40% POLYESTER"
112,EXCLUSIVE OF DECORATION
113,"BODY: 60% COTTON, 40% POLYESTER"
114,EXCLUSIVE OF DECORATION
115,"BODY: 60% COTTON, 40% POLYESTER"
116,EXCLUSIVE OF DECORATION
